Pet_Supplies_Name	ASIN	Pet_Type_ID	Category_ID	Supplier_ID	Model_Number
Lyric Nyjer Seed - 10 lb. bag	B00D8O9U6U	4	1	1	2647449
Arm & Hammer Multi-Cat Litter, 40 Lbs (Packaging May Vary)	B00DCUP29Y	2	10	1	ZYI026
Weaver Leather Livestock Show Comb	B00DL40SG8	5	3	1	696055
Sherpa Park Tote Pet Carrier, Medium Brown	B00DMIWKA0	2	11	1	55103
Petstages Tower of Tracks Ball and Track Interactive Toy for Cats	B00DT2WL26	2	13	1	317
DreamSticks, Vegetable & Chicken Chews, Rawhide Free, 5-Count	B00E3R16PE	1	4	1	DBC00259
All-Absorb Training Pads 22-inch By 23-inch	B00EI673B6	1	10	1	A01
Temptations Classic Treats for Cats Seafood Lovers 3 Ounces	B00ET0M31G	2	4	36	10159911
MidWest The Original Curious Cat Cube, Cat House/Cat Condo in Brown Faux Suede & Synthetic Sheepskin	B00EV6FU7C	2	8	1	137BR
Welactin Equine Omega 3 (16 fl oz) Twin Pack	B00GBHOYBW	5	4	1	WELEQN16TP
Elive Betta Fish Bowl / Betta Fish Tank with Planter, Small 0.75 Gallon Aquarium, LED Light Timer, Black	B00GO03PL6	3	14	1	1001
Tropical Carnival F.M. Brown's Fruit & Nut Small Animal Treat with Real Fruits, Nuts, and Veggies for Rabbits, Hamsters, Guinea Pigs	B00H0CLQB8	7	4	1	423096
MG Collection Black / Gray Designer Inspired Stylish Quilted Soft Sided Travel Dog and Cat Pet Carrier Tote Hand Bag	B00HAXYP1U	2	11	1	TBPET0006BLK
cadet Triple Chew Duck Dog Treats	B00HF3JFAG	1	4	1	7332
SunGrow Betta Leaves by Replicate natural habitat for betta & improve well-being	B00HG1TMIW	3	6	1	YKIBGH5532
Greenies PILL POCKETS Soft Dog Treats, Chicken, Capsule 15.8-oz. 60-count pack of PILL POCKETS Treats for Dogs	B00HQM0UMS	1	4	1	10113915
Bird Parrot Cage Cockatiel Amazon African Grey Caique Conure, 20 X 20 X 65	B00HTQ6ZSY	4	5	1	202065803K
Blueberry Pet 19 Colors Durable Classic Dog Leash 4 ft x 1	B00HWQRCLK	1	7	22	DLSS02L
Vetericyn Plus All Animal Antimicrobial Ophthalmic Gel | Eye Product for Dogs and Cats	B00HYRZFMK	5	2	1	1067
AT Rotifer Delight - Live Rotifers (10 oz)	B00I112H88	3	1	1	OHHTS31
Purina Tidy Cats 24/7 Performance Clumping Cat Litter	B00IDXXZPI	2	10	1	11620
Chicken Soup for the Soul Large Breed Adult Dog 30lb	B00IEXBPTK	1	1	1	2314
Rooster Booster Poultry Booster, 1.25-Pound	B00ISTDKLQ	4	2	1	3850701
Shires Distraction Aid Ball Stable Toy	B00IWTFZKG	5	13	1	ISLCF46
ökocat Natural Wood Cat Litter, 19.8-Pound, Clumping	B00IYI0LI6	2	10	1	CTOKOCTLITRUSLO338
Uncle Jimmy's Hangin' Balls (choose from a range of flavours) - 1.59kg	B00J3SAIWA	5	13	1	430
Ethical Products 10Pk Color Spring 2 pack	B00J5JZBJC	2	13	1	US16
Amariver Hammock Hanging Bed Toy House Cage for Rabbit Guinea Pig Ferret	B00J6DLNL2	7	13	1	IM38
EliteField 2-Door Soft Playpens, 3 Size Available, FREE Shipping 	B00J84153K	1	11	1	SW31
NutralifePet SAM-e (S-adenosylmethionine) 100 Mg - Liver Detox & Joint Support - Double Pack (60 Tablets)	B00J8MO4H6	1	2	1	CC18
Durvet Ivermectin Pour On Dewormer 250mL	B00JAL3AAW	5	2	21	456790
UltraGuard Plus Flea And Tick Treatment Powder	B00JKQAUQY	2	2	1	32700841386
Purina Beyond Natural Dry Cat Food, Superfood Blend, Herring Egg and Sweet Potato Recipe	B00JVHSE24	2	4	1	12247800
Rachael Ray Nutrish Natural Wet Dog Food, Grain Free	B00JVHSGRC	2	1	1	12247940
Paws & Pals Airline Approved Pet Carriers w/ Fleece Bed For Dog & Cat - Soft Sided Kennel	B00KALX5MY	2	11	1	290623
BLUE Wilderness Rocky Mountain Recipe Recipe Adult Grain Free Red Meat	B00KEDLNJU	2	1	1	800086
Koller Products Panaview 5-Gallon Aquarium Kit with LED Lighting and Power	B00KIRR8BY	3	14	1	Aq15005
Necoichi Portable Cat Cage	B00L36K7EE	2	5	12	HB89
Outward Hound Fun Feeder Dog Bowl Slow Feeder Stop Bloat for Dogs, Small, Teal	B00L3O4JI6	1	6	1	51006
Blue Kitty Yums Soft-Moist Cat Treats 2-oz	B00L9NJFBC	2	4	1	RH17
Premium Charcoal Filters for PetSafe Drinkwell Fountains, Pack of 10	B00LCIV210	1	6	27	PSDWF10PK
Pogi’s Poop Bags - 500 Bags for Pantries - Large, Earth-Friendly, Scented, Leak-Proof Pet Waste Bags (Single Large Roll)	B00LH4AYDQ	1	10	1	YO24
Merry Pet 2-in-1 Configurable Pet Crate and Gate, Medium	B00LKMN7M0	2	5	1	PH0101751800
SmartCat All Natural Clumping Litter, 10-Pound	B00LN70DZ6	2	10	1	6505
Temptations MixUps Treats for Cats SURFER'S DELIGHT Flavor, 16 oz. Tub	B00M0FK8UU	2	4	1	10116934
Jolly Ball For Equine	B00M1UQB6Y	5	13	1	QS49
AmazonBasics Pet Training and Puppy Pads, Regular - 100 Count	B00MW8G62E	1	1	1	TRP100R
Pets N Bags Dog Waste Poop Bags, Refill Rolls 	B00N3K01YO	1	10	1	XK89
AmazonBasics Dog Waste Bags with Dispenser and Leash Clip - 900-Count	B00NABTGY2	1	8		100360
Fluker's Corner Rock Dish / Bowl for Hermit Crabs Small	B00NG0GMAI	6	6	21	66035
Flukers Calcium Supplement for Hermit Crabs with Honey Powder, 2-Ounce	B00NG61IMY	6	2	1	66019
Fluker's Castle Crib Hide for Hermit Crabs	B00NG61LOO	6	6	1	66032
Zilla Reptile Food Munchies Mealworm, 3.75-Ounce	B00NOLTBG6	6	1	1	100109951
BLUE Wilderness Rocky Mountain Recipe Adult Grain Free Flaked Trout Feast in Tasty Gravy Wet Cat Food 5.5-oz (pack of 24)	B00NVMP09K	2	1	1	10368
Flipper Flapper Skunk Dog Toy Animated Squeaky	B00O6F3A8O	1	13	1	84838
4 Step Portable Pet Stairs By Majestic Pet Products Gray Links Steps for Cats	B00OJQB0I2	2	8	1	78899567533
Omega SureGut A Prebiotic and Probiotic Supplement, 2 lb	B00OLMS7XK	5	1	1	2 Lb
Temptations MixUps Cat Treats CATNIP FEVER Flavor 16 Ounces, With Our Mouthwatering Menu We Have a Flavor For Every Feline	B00OLSARS2	2	4	1	10120350
SHEBA PERFECT PORTIONS Paté Multipack Delicate Salmon and Tender Whitefish & Tuna Grain Free Cat Food 2.6 Ounces	B00OLSB5HE	2	1	1	10119320
SmartyKat Feather Whirl Replacement Wands Cat Toy, 3-Pack	B00OMFSTDO	2	13	1	9.76E+11
AmazonBasics 23-Inch Two-Door Top-Load Pet Kennel	B00OP6SVJW	2	11	1	6009M
Downtown Pet Supply Strong Durable Dog Leash Lead	B00QB53WC6	1	7	17	KD36
AmazonBasics Black Soft-Sided Pet Carrier - Large	B00QHC01C2	1	5	1	AMZSC003
AmazonBasics Padded Pet Bolster Bed	B00QHC06UO	2	8	1	AMZB002
Best Pet Supplies ST225T-S Foam Pet Stairs/Steps, 3-Step, Animal Print	B00RDKYAW4	1	8	1	ST225TS
Pet Ultimates Probiotics for Cats - 20 Species - Stops Diarrhea & Vomiting, Cuts Litterbox Smell	B00RKQF6QA	2	2	10	OK14
Virbac C.E.T. Enzymatic Toothpaste, Poultry Flavor, 2.5 oz	B00RZDXA7K	1	3	1	CET101
ESK Collection ESK48-Blue Pet Exercise Pen Kennel, 48 Inch, Blue	B00SFA8KBS	1	11	1	ESK48Blue
HARTZ Delectables Bisque Senior 10 Years+ Lickable Wet Cat Treats - Tuna & Chicken - 12 Pack	B00T76GKIY	2	4	37	3270011058
HARTZ Delectables Stew Lickable Wet Cat Treats - Tuna & Whitefish - 12 Pack	B00T76GKLQ	2	4	37	32700110543
(3 Pack) Smart n' Tasty Cat Ocean Fish Dental Grain-Free Treats, 3-Ounce each	B00TWHI572	2	4	1	EI12
Nutro Indoor Senior Dry Cat Food Chicken 14 lb. bag	B00TZI46W6	2	1	1	10164294
The Natural Pet Company Cat Toys Collection in Gift Box	B00UHRQAGY	2	13	33	jsed
Dog Nail Clippers and Trimmer By Boshel - With Safety Guard to Avoid Over-cutting Nails & Free Nail File	B00UJ2WLB0	1	3	23	BANCOO3
Pet Fit For Life Multi Piece Replacement Feathers Pack Plus Bonus Soft Furry Tail For Interactive Cat and Kitten Toy Wands	B00UZK5WQC	2	13	1	WT15
SleekEZ Original Deshedding Grooming Tool (5 inch)	B00VC8DQX2	1	3	4	4121411
Happy Hen Treats 6 oz. Square-Mealworm and Seed	B00VDXHT5M	4	4	1	17087
Petrainer PET998DRB1 Dog Training Collar Rechargeable and Rainproof 330 yd Remote Dog Shock Collar with Beep	B00W6UVROK	1	1	1	LG20
MG Collection White Quilted Designer Inspired Faux Patent Leather Dog & Cat Pet Carrier Tote Handbag	B00WH85OIG	2	11	1	TU92
Chicken Bark - Voted Best Chicken Treat Available To Dogs, Portion Of All Proceeds Donated To Dogs In Need	B00WJ45W12	1	4	1	NL98
Purina Pro Plan TRUE NATURE Natural Chicken & Turkey Entree in Gravy Adult Wet Cat Food - Twenty-Four (24) 3 oz. Pull-Top Cans	B00XV81IXG	2	4	1	17245
Lalawow SO COOL Foldable Pet Swimming Pool Bathing Tub Bathtub Dog Cats Washer	B00Y2Q43WY	1	8	26	RM66
Omega Grande A Complete Natural Flax, 50 lb	B00YAEMPWS	5	1	1	50 Lb
MERRICK KITCHEN BITES DOG TREATS MADE IN USA 2 PACK 18 Ounces Total TURDUCKEN	B00YZGG6CQ	1	4	1	GA30
Hertzko Self Cleaning Slicker Brush	B00ZGPI3OY	1	3	3	XX24
Horse Guard Equine Vitamin Mineral Supplement, 10lb	B00ZJHS32Q	5	1	1	Horse Guard 10lb bag
Good'n'Fun Triple Flavored Rawhide Kabobs for Dogs, 12 oz	B010IU5B78	1	4	1	82245
It's A Tea Potty! Hinoki Wood & Green Tea Natural Cat Litter by Weruva	B011JPLT8G	2	10	1	850
Penn Plax Aquaponic Betta Fish Tank Promotes Healthy Environment for Plants and Fish .5 Gallon Capacity	B012QGR2TC	3	14	1	APON1
ToysOpoly Pet Playpen 45 Exercise Puppy Pen Kennel - Best for Dogs and Cats	B013Q7FGEI	1	11	1	LA03008
CATMANDOO Bonito Flakes Pet Treat, X-Large,4Oz,4pk	B014VB184U	2	4	35	BA27
Brindle Soft Memory Foam Dog Bed with Removable Washable Cover	B015ELWG2E	1	8	32	BR1711SP30SD
30 PIECE CAT TOY VARIETY PACK CRINKLE BALLS MICE SPRINGS BELL BALLS	B015T8Y33M	2	13	1	VG38
2-in-1 Pet Glove: Grooming Tool + Furniture Pet Hair Remover Mitt - For Cat & Dog	B015UE70PI	2	3	15	PYP291189
Pet Dog Sunglasses Water-Proof Multi-Color Protection Goggles Updated Version	B015WGVYD8	1	9	1	XS76
Best Cat Cave Bed, Unique Gray Handmade Natural Felted Merino Wool, Large Covered Cozy Condo, Also Perfect for Kittens	B01637YYVE	2	8	1	JX61
Mkono 2 Pack Wall Hanging Plant Terrarium Glass Planter-Hexagon Shape	B016BFKC4G	3	14	1	LH37
Doggie Dailies Glucosamine for Dogs: 225 Soft Chews, Advanced Hip and Joint Supplement for Dogs with Glucosamine	B016MY21XG	1	2	7	OF78
Petsfit Most Airline Approved Expandable Pet Travel Carrier, Two Side Expansion, Extra Spacious Soft Sided Carrier for Cats	B017CKNH8M	1	11	1	VC38
Pet MD Chlorhexidine Wipes with Ketoconazole and Aloe for Cats and Dogs	B0180A1J38	1	3	5	695321
Muse by Purina Natural Chicken & Salmon Recipe in Chicken Broth 	B018ISGNN8	2	1	1	17192
Muse by Purina Natural Tuna & Tilapia Recipe in Broth With a Baby Clam Topper Adult Wet Cat Food	B018ISGRBG	2	1	1	16851
Clorox Urine Remover for Stains and Odors – 32 Ounce Spray Bottle	B01981KS8U	1	10	1	BX50
COMSUN 2-pack Collapsible Dog Bowl, Food Grade Silicone BPA Free, Foldable Expandable Cup Dish for Pet	B019B53YVQ	1	6	16	FBAPET003
Petpeppy.com The Original Airline Approved Expandable Pet Carrier By Pet Peppy- TWO SIDE Expansion	B019K6QD32	2	11	1	AS75
Petsfit Rabbit Hutch Grey, Guinea Pigs Cage, Bunny Hutch Wood for Indoor Use	B01A8AJ8RC	2	5	13	FY32
Pet Zone Fly By Spinner, Green	B01AJJOJGC	2	13	1	1550013116
Purina Friskies 96319 Cat Concoctions Variety Pack Cat Food	B01ALI3V0G	2	4	1	96319
Feliway CLASSIC Starter Kit for Cats	B01AVIIFRA	1	1	1	C23830C
Daily 6 Times Automatic Fish Feeder Aquarium Tank Feeders Auto Food Timer Pet Feeding Dispenser on Schedule with Time Dials	B01B1GPWP4	3	6	2	YK49
Temptations Classic Treats for Cats Tempting Tuna Flavor 16 Ounces; With Our Mouthwatering Menu We Have a Flavor For Every 	B01BMFDS0K	2	4	36	10145890
Fashion Pet Dog Carrier PU Leather Dog Carriers Luxury Cat Travel Carrying Handbag for Outdoor Travel Walking Hiking	B01C85C9QW	2	11	1	TY63
Evergreen Pet Supplies Reptile Humidifier/Reptile Fogger - 2 Liter Tank - Ideal for a Variety of Reptiles/Amphibians/Herps	B01CO9582Y	6	5	21	ZN51
Bullysticks Organic 6 Bully Sticks For Dogs - Big Bag 10 Pack Low Odor Dog Treats - All Natural Premium Beef - USDA/FDA Approved 	B01CQBJM7C	1	4	1	QH52
Petio Basics - Pet Grooming Dematting Deshedding Comb with 2-Sided Rake Removes Tangles and Matted Hair from Dogs and Cats	B01D3HXZTE	1	3	1	UC86
New World 30 Double Door Folding Metal Dog Crate, Includes Leak-Proof Plastic Tray; Dog Crate	B01DLS2F14	1	11	1	BM33
PETSAVERS Pet Inside Sticker Static Cling Rescue Window Decals with Bonus Pet Saver Wallet Card No Adhesive, Red, 4 Count	B01DXJO1Q8	1	2	1	fsecsd
Outgeek Wall Fish Bubble Wall Hanging Bowl Clear Acrylic Vase Flower Plant Pot Aquarium 9in	B01DXUQC0K	3	14	1	EK89
Mkono 2 Pack Wall Hanging Plant Terrarium Glass Planter, Diamond	B01FHFTBUC	3	14	1	SZ13
FiveStarPet Barrel Dispenser with 2 Rolls Refill Bags (Pink Paw)	B01FL5SYHO	1	10	1	RJ89
Airline Approved /Travel Transport Pet Carrier/ 2 Soft Fleece Pads/ Washable/ 2018 Newly Designed/ Pet Purse/Travel Tote	B01G1E4TJ6	2	11	1	UF93
Hartz Wardley Vacation Food Valu Pack, 4 Count	B01GF7KVG4	3	1	1	MY32
Laura Ashley Playpen Medium	B01GIF75VM	1	11	1	OI36
Wellness Crunchy Puppy Bites Natural Grain Free Puppy Training Treats, Chicken & Carrots, 6-Ounce Bag	B01GJJHU4O	1	4	1	89016
Patriot Pet Jumbo Pig Ears for Dogs 10 pack	B01H2OKLHS	1	4	1	KQ79
Pet Pizazz 100% Wool Cat Ferret Small Dog Ball Toy 6-Pack	B01H4MAFRY	2	13	1	LI83
Simply Wild Cod Skins for Dogs	B01HTTM2JG	1	4	1	FM13
Organic cat grass growing kit with organic seed mix, organic soil and cat planter	B01I5XHWI6	2	2	11	TD88
Pawaboo Pet Teasing Toy, Hide and Seek Electronic Mouse Hunt 	B01IP4MXUW	2	13	1	ndccs
Creaker 3 Way Cat Tunnel, Collapsible Pet Toy Tunnel with Ball for Cat, Puppy, Kitty, Kitten, Rabbit (T-shaped)	B01J7KN23U	2	13	1	QR73
HARTZ Delectables Squeeze Up Interactive Wet Cat Treats - Tuna - 32 Tubes	B01KVUABGQ	2	4	37	8.00E+13
HARTZ Delectables Chowder Lickable Wet Cat Treats - Chicken & Tuna - 12 Pack	B01KX7JJQU	2	4	37	8.00E+13
Our Pets Switchgrass Natural Clumping Biodegradable Cat Litter	B01LWVV8N2	2	10	1	1400013347
A4Pet Ultra Light, Sturdy and Collapsible Pet Carrier for Cats and Small Animals up to 20 lbs	B01LXTH0GT	2	11	1	DCC21101YB21J
URPOWER Pet Front Seat Cover for Cars,WaterProof & Nonslip Rubber Backing with Anchors, Quilted, Padded, Durable Pet Seat 	B01LY3A2HF	1	11	1	SC014
Lucky Premium Treats Chicken Flavored Rawhide Dog Treats for Small Dogs Made in the USA Only by, 35 Chews	B01LZHP1WN	1	4	1	NF61
Paws & Pals 14 oz. Pet Dog Cat Enzymatic Toothpaste Dental Care Kit with Dual Toothbrush for Oral Hygiene - Fights Plaque	B01LZT3MOJ	1	2	6	PTWTBF07
IQ Treat Ball	B01MCQ6W3R	2	13	1	GF88
Pet Magasin Self Warming Cat Thermal Bed - Cave Style - Luxury Four-Way Snuggly Cat Hideaways By	B01MD0UFUL	7	13	1	SF50
PICKY NEB Whole Mealworms for Chickens 5lb - 100% Non-GMO Large Dried Meal Worms Bulk - High-Protein Chicken Treats	B01MR3QKPH	6	1	1	CD50
Honest Kitchen The Beams Grain-Free Dog Chew Treats - Natural Human Grade Dehydrated Fish Skins, 3.25 oz Small	B01MR59LKS	1	4	1	BEA3
Dr. Moss Aquaponic Fish Tank Aquarium for Betta Fish with Water Garden Planter Top Lid Natural Ecosystem for Plant Growth	B01MTQP4G3	3	14	1	XF98
Etta Says Bold Yumm Sticks Dog Treats 24 count	B01MU72FPB	1	4	1	SB55
4CLAWS Furry Cat House	B01MXEQROE	2	8	1	OK19
Halo Grain Free Natural Wet Cat Food, Variety Pack with Chicken, Salmon & Turkey Stew, 5.5-Ounce Can	B01MYCJHL3	2	4	1	51300
Bacon Bark - As Natural As It Gets - 1 Ingredient!!! Sourced and Made USA, Portion Of All Proceeds Donated To Dogs In Need	B01MYF2DCV	1	4	1	BM98
I and love and you Nice Jerky Bites, Beef & Lamb Recipe, 4 Oz (Pack of 6)	B01MZ7NX2O	1	4	1	T00006FF
JYYG Pet Playpen, Small Animal Cage Indoor Portable Metal Wire Yard Fence for Small Animals, guinea pigs, rabbits Kennel Crate 	B01N0EJ3A2	1	11	1	AL51
Veterinary Naturals Hemp & Hips' Soft Chew - Best Hip & Joint Supplement for Dogs with Glucosamine, MSM, Chondroitin	B01N2S774K	1	2	1	YF86
Blue Dog Bakery Deli Bite Dog Treats	B01N9JTBTU	1	4	1	81015
Marigold & Peppa | Professional Strength Stain and Odor Eliminator | Pet Urine Remover | Carpet Cleaner Deodorizer | Enzyme Powered	B01N9OCV7M	1	10	1	PV72
WOpet Fashion Pet Carrier Bag Dog Carrier Purse Dog Handbag Pet Tote Bag for Outdoor Travel Walking Hiking (Black)	B01NA9EY27	2	11	1	YK93
Sheba Wet Food SHEBA PERFECT PORTIONS Multipack Cuts in Gravy Signature Tuna and Roasted Chicken Entrée Wet Cat Food 	B01NBKVGRK	2	1	1	10151805
