Pet_Supplies_Name	ASIN	Pet_Type_ID	Category_ID	Supplier_ID	Model_Number
Intrepid International Nifty Horse Brush	B000HHOJMQ	5	3	1	245621
Tetra Weekend Tropical Slow Release Feeder Fish Food, 1.06 oz	B000HHQ5GY	3	1	1	77150
Manna Pro Peppermint Trail Size Bite Size Nuggets, 1 lb	B000HHS7D8	5	2	1	92984252
Audubon Coppertop Cedar Wood Bluebird House Model NACOPBB	B000HHSDI2	4	5	1	NACOPBB
MidWest Cat Playpen/Cat Cage Includes 3 Adjustable Resting Platforms, Removable Leak-Proof Pan, Easy 2-Door Top/Bottom 	B000I1M76Q	2	5	1	130
Heath Outdoor Products DD-18 Peanut Crunch Suet Cake, 12-Pack	B000IGGEGU	4	4	1	DD18
Bergan Turbo Scratcher Cat Toy, Colors may vary	B000IYSAIW	2	13	1	70128
Carlson Extra Wide Walk Through Pet Gate with Small Pet Door, 37-Inches Wide	B000JJDI0G	1	12	1	0930 PW DS
SmartCat Peek and Play Toy Box	B000JTDP18	2	13	1	3841
PetSafe Drinkwell Platinum Dog and Cat Water Fountain, 168 oz.	B000L3XYZ4	2	6	21	PWW0013703
Go Cat Cat Catcher Teaser Wand with Mouse Cat Toy	B000LPOUNW	2	13	1	GC00111
Oster Power Max 2-Speed Pet Clippers with CryogenX Antimicrobial Blade	B000LRHWFI	5	3	21	78004011000
Manna Pro Oyster Shell, 5-Pounds	B000MD59TC	4	1	21	806960236
Zilla Terrarium Dish, Large, Colors Vary	B000MD6K2C	6	2	1	100111668
Fresh N Clean Scented Shampoo, Classic Fresh Scent	B000N38CZE	1	3	21	LK21565
Fish Bubble - Wall Mounted Acrylic Fish Bowl	B000NBP2JA	3	14	1	LK2156587
Cat Lax (2 oz) 56.70 g	B000O5DMQK	2	2	9	TOM411567
Planet Dog Orbee Tuff Artichoke, Durable Dog Chew-Play Toy with Treat Spot, 100% Guaranteed, Made in the USA, 4-Inch, Green	B000OGSKMU	1	4	1	8.34E+11
Wagner's 62050 Nyjer Seed Bird Food, 10-Pound Bag	B000OOKJ58	4	1	21	62050
Dog Crate | MidWest iCrate XXS Folding Metal Dog Crate w/ Divider Panel, Floor Protecting Feet & Leak-Proof Dog Tray	B000OXAER2	1	5	25	B000OXAER2
Horsemen's Pride Stall Snack Holder with Apple-Scented Jolly Ball for Horses	B000PU357U	5	13	1	B000OXAER234
Horsemen's Pride 10 Horse Jolly Ball Bubble Gum Scented	B000PUC756	5	13	1	55042
Perky-Pet No/No Green and Yellow Sunflower Basket Bird Feeder SB00316	B000PY760S	4	6	1	SB00316
Zoo Med Natural Aquatic Turtle Food, Maintenance Formula, 45-Ounce	B000Q3XQKM	6	1	1	ZM113
Majesty's HA Wafers - Joint therapy for high performance horses - 60 count	B000QFRLOM	5	2	1	MFHA60
Large Dog Crate | MidWest iCrate Double Door Folding Metal Dog Crate w/Divider Panel, Floor Protecting Feet & Leak-Proof Dog Tray 	B000QFT1RC	1	5	1	1542DDU
XL Dog Crate | MidWest iCrate Double Door Folding Metal Dog Crate w/Divider Panel, Floor Protecting Feet & Leak-Proof Dog Tray	B000QFWCLY	1	11	1	1548DD1P
Kaytee Nyjer Thistle Seed, 8-Pound	B000QSK4DO	4	1	21	100033684
Zoo Med Laboratories SZMSCK1 Hermit Crab Kit	B000QSK524	6	2	1	97612251029
Allerpet Cat Dander Remover, 12 oz	B000S0L0M4	2	3	1	30012
Go Cat Da Bird Cat Toy Refill Accessories, Handmade in the USA, Fur Fun	B000UUK3T8	4	2	1	GC00156
Taste of the Wild High Prairie Grain Free High Protein Real Meat Recipe Natural Dry Dog Food with Real Roasted Bison & Venison 	B000W5SLB8	1	1	1	418581
Roudybush Daily Maintenance Bird Food, Crumbles, 44-Ounce	B000WFEK0Y	4	1	1	244CRDM
Earthbath All Natural Grooming Wipes, Hypo-Allergenic and Fragrence Free	B000WFIVSQ	1	3	1	PH7W
Purina ONE Indoor Advantage Adult Dry Cat Food - 16 lb. Bag	B000WFKTWM	2	2	1	178627
Tomlyn Hairball Remedy Gel for Cats, Catnip Flavor, (Laxatone) 4.25 oz	B000X2XYR6	2	2	1	305011
Blue Adult Indoor Health Chicken & Brown Rice Dry Cat Food 15-lb	B000XKCCV2	2	1	1	800191
Sun Seed Company BSS49040 6-Case Vita Prima Daily Diet Conure Food, 3-Pound	B000XS2NG8	4	1	21	220052
Fish Mate F14 Aquarium Fish Feeder	B000YK5W18	3	6	1	207
